name_of_insurer,claims_outstanding_at_the_beginning_of_the_quarter,claims_intimated_during_the_quarter,claims_intimated_and_revived_during_the_quarter,claims_revised_during_the_quarter,claims_revived_during_the_quarter,claims_paid_during_the_quarter,claims_rejected_and_closed_as_no_claims_during_the_quarter,claims_declined_during_the_quarter,claims_closed_as_no_claims_during_the_quarter,claims_outstanding_at_the_end_of_the_quarter,declined_claims_ratio_percent,claims_closed_as_no_claims_ratio_percent,claim_settlement_ratio_percent,quarter,year
Liberty Life,8723,2476,NA,NA,NA,2660,NA,4,3,8532,0,0,23.8,Q3,2018
Madison,1879,4957,NA,NA,NA,4975,NA,NA,NA,1861,NA,NA,72.8,Q3,2018
Metropolitan Cannon,1025,2645,NA,NA,NA,2246,NA,NA,NA,1424,NA,NA,61.2,Q3,2018
Old Mutual,2542,1699,NA,NA,NA,1389,NA,1,108,2743,0,2.5,32.8,Q3,2018
Pioneer,3607,6652,NA,NA,NA,5928,NA,NA,49,4282,NA,0.5,57.8,Q3,2018
Prudential Life,1768,2351,NA,NA,NA,1679,NA,NA,NA,2440,NA,NA,40.8,Q3,2018
Saham,26,NA,NA,NA,NA,NA,NA,NA,NA,26,NA,NA,NA,Q3,2018
Sanlam Life,1944,6608,NA,NA,NA,5981,NA,51,205,2315,0.6,2.4,69.9,Q3,2018
Takaful Life,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,100,Q3,2018
The Kenyan Alliance,110,1031,NA,NA,NA,1038,NA,NA,NA,103,NA,NA,91,Q3,2018
The Monarch,38,55,NA,NA,NA,44,NA,NA,NA,49,NA,NA,47.3,Q3,2018
UAP Life,1756,1368,NA,NA,NA,1300,NA,2,1627,195,0.1,52.1,41.6,Q3,2018
Industry,33682,71163,NA,NA,327,68094,NA,152,2391,34208,0.1,2.3,64.9,Q3,2018
APA Life,467,470,NA,NA,NA,476,NA,NA,16,445,NA,1.7,50.8,Q4,2018
ABSA Life,149,749,NA,NA,NA,728,NA,NA,NA,170,NA,NA,81.1,Q4,2018
Britam Life,4073,10879,NA,NA,NA,12026,NA,NA,2,2924,NA,0,80.4,Q4,2018
Capex Life,33,481,NA,NA,NA,479,NA,NA,NA,34,NA,NA,93.4,Q4,2018
CIC Life,1210,1591,NA,NA,209,1615,NA,13,NA,1173,0.5,NA,57.7,Q4,2018
Corporate,488,456,NA,NA,NA,678,NA,NA,NA,266,NA,NA,71.8,Q4,2018
First Assurance,40,58,NA,NA,NA,30,NA,NA,NA,68,NA,NA,30.6,Q4,2018
GA Life,1,778,NA,NA,NA,778,NA,NA,NA,1,NA,NA,99.9,Q4,2018
Geminia,541,26,NA,NA,NA,27,NA,NA,NA,540,NA,NA,4.8,Q4,2018
ICEA Life,1123,14950,NA,NA,NA,15455,NA,NA,NA,618,NA,NA,96.2,Q4,2018
Jubilee,1804,8440,NA,NA,NA,8298,NA,19,5,1922,0.2,0,81,Q4,2018
Kenindia,304,3214,NA,NA,1,3116,NA,NA,NA,402,NA,NA,88.6,Q4,2018
Kenya Orient,5,29,NA,NA,NA,13,NA,NA,NA,21,NA,NA,38.2,Q4,2018
Liberty Life,8532,2656,NA,NA,NA,3133,NA,7,NA,8048,0.1,NA,28,Q4,2018
